species,temp_opt_min,Temp_Opt_Max,Rain_Opt_Min,Rain_Opt_Max,Lat_Opt_Min,Lat_Opt_Max,Alt_Opt_Min,Alt_Opt_Max,pH_Opt_Min,pH_Opt_Max,Light_Opt_Min,Light_Opt_Max,Texture_Ops
Ananas comosus,21,30,800,2500,-,-,---,---,4.5,8,clear skies,cloudy skies,"medium, light"
Annona muricata,20,30,1200,2200,-,-,---,---,5.5,6.5,very bright,clear skies,"heavy, medium"
Annona reticulata,23,27,1200,1400,5,-,---,---,5,7.5,clear skies,very bright,medium
Annona squamosa,23,30,800,1200,-,-,---,---,7,8,very bright,clear skies,"medium, light"
Anthocephalus chinensis,22,35,1800,2600,-,-,---,---,5.5,6.5,very bright,very bright,"medium, light"
Apium graveolens,15,21,700,1300,40,10,---,---,6,6.8,cloudy skies,clear skies,"medium, organic"
Apium graveolens var. dulce,18,25,1000,1300,20,10,---,---,5.8,6.8,very bright,clear skies,"medium, organic"
Araucaria cunninghamii,18,28,1000,2000,-,-,---,---,5,6.5,very bright,very bright,"heavy, medium"
Areca catechu,16,33,1500,3000,-,-,---,---,5.5,6,cloudy skies,light shade,"heavy, medium"
Artocarpus heterophyllus,20,30,1500,3000,-,-,---,---,5.5,7.5,very bright,clear skies,medium
Asparagus officinalis,15,30,800,1200,-,-,---,---,6,6.7,very bright,very bright,"medium, organic"
Asystasia gangetica,23,28,1000,1500,-,-,---,---,4,4.5,cloudy skies,heavy shade,"heavy, medium"
Avena sativa,16,20,600,1000,45,40,---,---,5,6,very bright,very bright,"heavy, medium, light"
Averrhoa bilimbi,23,30,1200,2300,-,-,---,---,5.5,6.5,very bright,clear skies,"heavy, medium, light, organic"
Averrhoa carambola,24,30,1200,2000,-,-,---,---,5.5,6.5,light shade,light shade,"heavy, medium, light, organic"
Axonopus compressus,23,30,1000,4000,-,-,---,---,5.5,6,clear skies,light shade,"medium, light"
Bambusa vulgaris,22,28,1200,2500,15,-,---,---,5,6,cloudy skies,light shade,"heavy, medium"
Barringtonia racemosa,160,28,500,1500,-,-,---,---,5.5,7,clear skies,very bright,"medium, light"
Basella alba,23,27,2000,2500,5,-,---,---,5.5,7,clear skies,clear skies,"medium, organic"
Basella rubra,23,27,2000,2500,5,-,---,---,5.5,7,clear skies,clear skies,"medium, organic"
Bauhinia variegata,12,38,600,2200,-,-,---,---,5.5,7,very bright,very bright,"medium, light"
Benincasa hispida,24,30,400,800,-,-,---,---,5.6,6.8,very bright,cloudy skies,"light, organic"
Beta vulgaris,15,25,600,800,30,-,---,---,6,7,very bright,light shade,"heavy, medium"
Bidens pilosa,17,32,800,2500,-,-,---,---,4.5,8,clear skies,very bright,"medium, light, organic"
Bixa orellana,20,28,1500,2000,-,-,---,---,5.5,7.5,very bright,clear skies,"medium, organic"
Bothriochloa bladhii,15,28,750,1200,10,10,---,---,6,8,clear skies,light shade,"heavy, medium"
Brachiaria brizantha,25,35,750,2500,-,-,---,---,5,6,very bright,cloudy skies,"heavy, medium, light"
Brachiaria decumbens,25,35,1500,1800,-,-,---,---,5,6,very bright,cloudy skies,"heavy, medium, light"
Brachiaria humidicola,32,35,1500,2000,10,10,---,---,5,6,very bright,cloudy skies,"medium, light"
Brachiaria miliiformis,24,30,1700,2000,-,-,---,---,5.5,6,very bright,cloudy skies,light
Brachiaria mutica,21,30,1200,2000,-,-,---,---,5,6,very bright,clear skies,"heavy, medium, light"
Brachiaria ruziziensis,25,33,1000,2000,-,-,---,---,5.5,6.5,very bright,very bright,"heavy, medium, light"
Brachychiton populneus,25,32,450,750,17.5,17.5,---,---,7,8,very bright,very bright,"medium, light"
Brassica chinensis,12,22,800,1600,-,-,---,---,6,7.5,clear skies,cloudy skies,"medium, organic"
Brassica juncea,15,28,700,2400,-,-,---,---,5.5,6.5,clear skies,clear skies,"medium, organic"
Brassica napus,15,25,500,1000,-,-,---,---,6.5,7.6,very bright,clear skies,"medium, light"
Brassica nigra,10,25,600,1400,-,-,---,---,6,7,very bright,cloudy skies,medium
Allium cepa var. cepa,12,25,350,600,25,-,---,---,6,7,clear skies,clear skies,"medium, organic"
Brassica oleracea var. botrytis,10,25,600,1100,30,-,---,---,6,7,cloudy skies,cloudy skies,medium
Brassica oleracea var. capitata,15,24,500,1000,35,-,---,---,6,7.5,clear skies,clear skies,"medium, organic"
Brassica oleracea var. gemmifera,12,20,900,1600,30,10,---,---,6,7,very bright,clear skies,"medium, organic"
Brassica oleracea var. italica,15,24,900,1500,35,-,---,---,6,6.8,cloudy skies,cloudy skies,"medium, organic"
Broussonetia papyrifera,15,28,800,2500,-,-,---,---,5,7.5,clear skies,very bright,"heavy, medium, light, wide"
Cajanus cajan,18,38,600,1500,-,-,---,---,5,7,very bright,very bright,"medium, light"
Calophyllum inophyllum,28,35,2000,4000,-,-,---,---,5.5,7,very bright,very bright,light
Allium tuberosum,10,20,850,2200,30,-,---,---,6,6.8,very bright,very bright,"medium, light"
Calopogonium caeruleum,18,25,1000,2000,-,-,---,---,4.5,5.5,very bright,cloudy skies,"heavy, medium, light"
Calopogonium mucunoides,24,32,1300,2500,-,-,---,---,4.5,5.7,very bright,clear skies,"heavy, medium, light"
Camellia sinensis,20,30,1400,2000,-,-,---,---,4.5,5.5,very bright,clear skies,"heavy, medium, light"
Campnosperma brevipetiolata,28,34,3000,4000,-,-,---,---,5,6,very bright,very bright,"heavy, medium"
Cananga odorata,20,30,1500,2000,12,10,---,---,5,6.5,very bright,clear skies,"heavy, medium, light"
Canarium indicum,22,28,2000,4000,-,-,---,---,6,7.5,very bright,clear skies,"heavy, medium, light"
Canavalia ensiformis,20,28,800,2000,20,-,---,---,5,6,very bright,clear skies,"heavy, medium, light, organic"
Canna indica,12,32,1000,4500,-,-,---,---,5.5,7.5,clear skies,very bright,"heavy, medium, organic"
Capsicum annuum,17,30,600,1250,-,-,---,---,5.5,6.8,very bright,very bright,"medium, organic"
Capsicum frutescens,18,30,600,1500,-,-,---,---,5.5,6.8,very bright,very bright,"medium, organic"
Carica papaya,21,30,1500,2500,-,-,---,---,5.5,7,very bright,clear skies,"medium, organic"
Casimiroa edulis,18,26,1500,3000,10,10,---,---,7,7.5,very bright,clear skies,"medium, light"
Cassia alata,23,29,1500,2500,10,10,---,---,5.5,6.5,very bright,clear skies,"heavy, medium, light"
Cassia fistula,18,30,1000,2000,15,15,---,---,6,7,very bright,clear skies,"medium, light"
Cassia occidentalis,22,28,1000,1700,-,-,---,---,6,7,very bright,clear skies,"medium, light"
Castilla elastica,23,30,2300,2700,-,-,---,---,5,6,very bright,clear skies,medium
Casuarina equisetifolia,20,35,700,3500,15,12,---,---,5,6.5,very bright,very bright,"medium, light"
Casuarina oligodon,22,28,2200,2600,-,-,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Catharanthus roseus,20,30,1000,1200,-,-,---,---,6,7,very bright,very bright,medium
Cedrela odorata,22,32,1000,2500,-,-,---,---,6,7,very bright,very bright,"heavy, medium, light"
Ceiba pentandra,17,38,1500,2500,-,-,---,---,5.5,6.5,very bright,very bright,medium
Celosia argentea,25,30,1500,2500,-,-,---,---,6,6.5,very bright,very bright,"heavy, medium, light, organic"
Cenchrus ciliaris,22,37,400,1000,-,-,---,---,6.5,8,clear skies,very bright,"medium, light"
Centrosema pubescens,20,30,1200,2500,-,-,---,---,4.9,5.5,clear skies,light shade,"heavy, medium"
Chloris gayana,20,37,600,1500,20,18,---,---,4.5,7,very bright,very bright,"heavy, medium"
Chloris virgata,25,30,500,750,-,-,---,---,6.5,7.5,very bright,cloudy skies,heavy
Chromolaena odorata,20,35,2000,4000,-,-,---,---,5,6.5,clear skies,very bright,"heavy, medium, light, wide, organic"
Chrysophyllum cainito,22,28,1000,1400,-,-,---,---,5,5.5,very bright,very bright,"medium, organic"
Chrysopogon aciculatus,22,28,700,1200,-,-,---,---,5,6,very bright,very bright,"medium, light"
Cichorium endivia,15,23,1000,1400,10,-,---,---,6.5,7.8,clear skies,clear skies,"medium, organic"
Cichorium intybus,10,30,1500,2500,20,20,---,---,6,7.5,very bright,clear skies,medium
Cinchona pubescens,17,25,2500,3500,-,-,---,---,5,6,very bright,cloudy skies,"light, organic"
Cinnamomum camphora,18,26,1200,1500,10,10,---,---,5.5,7,very bright,cloudy skies,medium
Cinnamomum verum,24,30,2000,2600,5,-,---,---,5.5,6.5,very bright,clear skies,light
Citrullus lanatus,20,35,500,700,20,10,---,---,6,7,clear skies,very bright,medium
Citrus aurantium,25,30,1200,1400,-,-,---,---,6,7,very bright,very bright,"medium, light"
Citrus grandis,23,32,1500,2500,10,-,---,---,5.5,7,clear skies,very bright,"medium, organic"
Citrus limon,15,28,1000,2300,-,-,---,---,6.5,7,very bright,very bright,"medium, light"
Citrus medica,21,27,1200,1400,-,-,---,---,6.5,7,very bright,very bright,"medium, light"
Citrus paradisi,18,32,1500,2300,-,-,---,---,6.5,7.3,very bright,very bright,"medium, light"
Citrus reticulata,23,34,1200,1800,-,-,---,---,6,6.8,very bright,very bright,"medium, light"
Citrus sinensis,20,30,1200,2000,-,-,---,---,5,6,very bright,very bright,"medium, light"
Citrus sp.,23,30,1200,1600,-,-,---,---,5,6.5,very bright,very bright,"medium, light"
Clitoria ternatea,19,28,1200,1800,-,-,---,---,6.5,7.5,very bright,clear skies,medium
Coccoloba uvifera,21,26,700,1400,5,5,---,---,6.5,7.5,very bright,very bright,light
Cocos nucifera,22,34,1200,2400,-,-,---,---,5,8,very bright,very bright,"medium, light"
Coffea arabica,14,28,1400,2300,5,-,---,---,5.5,7,clear skies,cloudy skies,"medium, organic"
Coffea canephora,20,30,1700,3000,-,-,---,---,5,6.3,clear skies,cloudy skies,"heavy, medium"
Coffea liberica,24,30,1600,2400,5,5,---,---,5.3,6.2,clear skies,cloudy skies,"heavy, medium, light"
Coleus amboinicus,22,28,2000,2600,-,-,---,---,6,6.5,clear skies,cloudy skies,medium
Colocasia esculenta,21,28,1800,2700,-,-,---,---,5.5,6.5,clear skies,clear skies,"medium, organic"
Cordia alliodora,24,32,2000,3000,-,-,---,---,6.5,7.5,very bright,very bright,"heavy, medium"
Coriandrum sativum,15,25,500,1400,30,-,---,---,5.5,7.5,clear skies,clear skies,medium
Crotalaria juncea,20,30,500,1500,17,17,---,---,6,7,very bright,very bright,medium
Crotalaria pallida,22,30,1200,1800,-,-,---,---,5.5,6.5,very bright,cloudy skies,"medium, light"
Allium schoenoprasum,10,20,450,1600,20,-,---,---,6,6.6,very bright,very bright,"medium, organic"
Cucumis melo,18,30,1000,1300,-,-,---,---,6,7.5,very bright,very bright,"medium, organic"
Cucumis sativus,18,32,1000,1200,-,-,---,---,6,7.5,very bright,very bright,"medium, organic"
Cucurbita maxima,20,30,600,1000,10,-,---,---,5.5,7.5,very bright,very bright,"heavy, medium, light, organic"
Cucurbita moschata,20,30,600,1600,10,-,---,---,5.5,7.5,clear skies,clear skies,"medium, organic"
Cucurbita pepo,17,30,600,1500,-,-,---,---,5.5,6.8,very bright,very bright,"medium, organic"
Curcuma longa,20,28,1000,2000,-,-,---,---,6,7,clear skies,light shade,"medium, organic"
Cyamopsis tetragonoloba,25,35,500,800,-,-,---,---,7.5,8,very bright,very bright,"medium, light"
Cymbopogon citratus,24,30,1500,3000,-,-,---,---,5,5.8,very bright,very bright,medium
Cymbopogon flexuosus,22,30,1500,3000,-,-,---,---,5,5.5,very bright,very bright,light
Cynara scolymus,15,25,900,1200,-,-,---,---,6,6.5,clear skies,cloudy skies,"medium, light"
Cynodon dactylon,17,35,625,1750,-,-,---,---,5.5,7,very bright,very bright,"heavy, medium, light"
Cyperus rotundus,24,32,500,3000,-,-,---,---,5.5,7,very bright,clear skies,"heavy, medium"
Cyphomandra betacea,16,22,2000,2600,-,-,---,---,6.3,7,very bright,very bright,"medium, light"
Dactyloctenium aegyptium,21,28,400,1500,-,-,---,---,6.5,7.5,very bright,clear skies,"medium, light"
Daucus carota,15,24,600,1200,20,-,---,---,5.8,6.8,clear skies,cloudy skies,"medium, organic"
Delonix regia,22,35,1000,1500,12,-,---,---,5.5,6.5,very bright,clear skies,light
Dendrocalamus giganteus,20,27,1800,3600,15,-,---,---,5.5,6.5,clear skies,cloudy skies,"medium, light"
Derris elliptica,24,30,1800,3500,-,-,---,---,5.5,7,clear skies,light shade,medium
Actinidia chinensis,21,30,900,1300,25,25,---,---,6,7,very bright,very bright,"light, organic"
Desmodium heterophyllum,23,28,2000,4000,-,-,---,---,5,6,clear skies,cloudy skies,"heavy, medium, light"
Desmodium incanum,25,32,1500,3100,-,-,---,---,5,7,clear skies,cloudy skies,"heavy, medium, light"
Desmodium intortum,25,33,1000,1500,-,-,---,---,5.5,6.5,clear skies,cloudy skies,medium
Desmodium triflorum,18,28,1500,4000,-,-,---,---,5,6.5,light shade,very bright,"heavy, medium, light, wide"
Desmodium uncinatum,25,32,1000,1600,-,-,---,---,5.5,6.5,clear skies,cloudy skies,"medium, light"
Dichanthium annulatum,22,30,500,1400,8,-,---,---,6.5,7.5,very bright,very bright,"heavy, medium, light"
Dichanthium aristatum,22,30,875,1200,10,10,---,---,5,7,very bright,very bright,"medium, light"
Dichanthium caricosum,32,35,1500,2500,-,-,---,---,5.5,7,very bright,cloudy skies,"heavy, medium"
Digitaria didactyla,25,35,800,1100,10,-,---,---,5.5,7,very bright,very bright,"medium, light"
Digitaria eriantha ssp. eriantha,24,35,450,1000,16,12,---,---,5.5,7,very bright,very bright,"medium, light"
Digitaria decumbens,28,32,450,650,15,15,---,---,5,7,very bright,very bright,heavy
Dillenia indica,30,40,3000,4000,10,10,---,---,5.5,7,very bright,light shade,medium
Dioscorea alata,20,32,1200,4000,-,-,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Dioscorea bulbifera,20,30,1200,2600,-,-,---,---,6,6.7,very bright,clear skies,medium
Dioscorea esculenta,28,32,800,2000,-,-,---,---,5.5,6.5,very bright,clear skies,"medium, organic"
Dioscorea rotundata,25,32,1000,1500,-,-,---,---,6.4,6.7,very bright,clear skies,heavy
Diospyros kaki,20,31,1000,1700,-,-,---,---,5.5,6.5,very bright,very bright,medium
Dodonaea viscosa,18,38,300,1200,10,10,---,---,5.5,7.5,very bright,clear skies,"medium, light"
Durio zibethinus,22,40,1500,2500,-,-,---,---,5,6.5,clear skies,cloudy skies,"medium, light"
Echinochloa colona,22,30,500,1200,-,-,---,---,5.5,6.5,very bright,clear skies,"heavy, medium"
Echinochloa crus-galli,17,30,700,1100,-,-,---,---,6,7,very bright,clear skies,heavy
Elaeis guineensis,20,35,1500,3000,-,-,---,---,4.5,6,very bright,very bright,"heavy, medium"
Elettaria cardamomum,22,30,3000,6000,5,-,---,---,5.5,6,light shade,cloudy skies,"medium, organic"
Eleusine indica,20,26,500,1200,-,-,---,---,5.5,6.5,very bright,clear skies,light
Emilia sonchifolia,20,30,1000,2000,-,-,---,---,4.5,6.5,very bright,cloudy skies,"heavy, medium, light"
Eriobotrya japonica,21,27,600,1600,20,10,---,---,5.5,6.5,clear skies,cloudy skies,"medium, light"
Erythrina fusca,16,24,1200,3000,-,-,---,---,4.5,6.5,clear skies,very bright,"heavy, medium, light"
Erythrina variegata,17,27,1500,2500,-,-,---,---,5,7,very bright,clear skies,"medium, light"
Eucalyptus camaldulensis,12,28,600,1000,32,-,---,---,5,7,very bright,very bright,"medium, light"
Eucalyptus deglupta,24,32,2000,4000,-,-,---,---,5.5,7.5,very bright,very bright,"medium, light"
Eucalyptus grandis,24,35,1000,2500,-,-,---,---,5.5,6.5,very bright,very bright,"medium, light"
Eucalyptus papuana,20,28,500,1000,-,-,---,---,5.5,6.5,very bright,very bright,"medium, light"
Eucalyptus robusta,16,32,1200,2000,23,-,---,---,6,6.5,very bright,very bright,"heavy, medium"
Eucalyptus saligna,15,32,900,1800,21,-,---,---,5.5,6.5,very bright,very bright,"heavy, medium"
Eucalyptus tereticornis,18,38,800,1500,15,6,---,---,6,7,very bright,very bright,"medium, light"
Syzygium cumini,20,32,1500,6000,10,-,---,---,5.5,7,clear skies,light shade,"medium, light"
Syzygium malaccense,22,28,1200,1600,-,-,---,---,5.5,6.5,very bright,clear skies,"heavy, medium, light"
Excoecaria agallocha,20,30,1000,2000,-,-,---,---,6.5,7,very bright,very bright,"heavy, medium"
Feijoa sellowiana,20,28,600,1500,26,24,---,---,5.5,7,very bright,clear skies,"medium, light"
Ficus carica,16,26,700,1500,30,25,---,---,6,7,very bright,clear skies,medium
Ficus elastica,20,30,600,1000,-,-,---,---,5.5,7.5,very bright,very bright,"heavy, medium, light"
Allium cepa var. aggregatum,20,25,450,600,-,-,---,---,6,7,clear skies,clear skies,"light, organic"
Flemingia macrophylla,22,28,1300,2200,-,-,---,---,5,7,very bright,cloudy skies,"heavy, medium, light"
Foeniculum vulgare,15,25,700,1500,-,-,---,---,6.5,7.5,very bright,very bright,medium
Fortunella japonica,26,35,1100,1500,20,20,---,---,6.5,7.5,very bright,clear skies,medium
Fragaria x ananassa,11,24,600,900,-,-,---,---,6,6.8,very bright,clear skies,"medium, organic"
Garcinia mangostana,20,30,1600,2000,-,-,---,---,5,6,clear skies,cloudy skies,"heavy, medium"
Garcinia xanthochymus,22,28,1500,2000,10,10,---,---,6,7.5,clear skies,cloudy skies,"heavy, medium"
Gliricidia sepium,15,30,1200,2300,6,6,---,---,5.5,6.2,very bright,clear skies,"medium, light"
Glycine max,20,33,600,1500,-,-,---,---,5.5,6.5,very bright,very bright,"medium, organic"
Gmelina arborea,22,34,1500,2500,5,5,---,---,5,6,very bright,very bright,"heavy, medium"
Gossypium barbadense,22,32,750,1250,-,-,---,---,5.2,7.2,very bright,very bright,"medium, organic"
Gossypium hirsutum,22,36,750,1200,-,-,---,---,6,7.5,very bright,very bright,"heavy, medium"
Grevillea robusta,15,28,750,1500,27,10,---,---,5,7,very bright,very bright,"medium, light"
Helianthus annuus,17,34,600,1000,20,-,---,---,6,7.5,very bright,very bright,"medium, light"
Helianthus tuberosus,15,27,700,1500,20,-,---,---,6,6.6,clear skies,clear skies,"medium, organic"
Hemarthria altissima,31,35,1200,1500,20,-,---,---,5.5,6.5,very bright,clear skies,"heavy, medium, light"
Heritiera littoralis,20,30,1500,2500,5,5,---,---,5.5,6.5,very bright,clear skies,"heavy, medium, light"
Heteropogon contortus,28,34,500,1500,19,19,---,---,5,6,very bright,very bright,"medium, light"
Hevea brasiliensis,24,33,2000,4000,-,-,---,---,4.5,6,clear skies,clear skies,"medium, light"
Hibiscus cannabinus,15,28,600,2000,-,-,---,---,6,7.5,very bright,very bright,"medium, organic"
Hibiscus sabdariffa,16,32,1000,3000,-,-,---,---,5.5,7.5,cloudy skies,very bright,"medium, organic"
Hibiscus syriacus,15,28,600,1400,27,25,---,---,5.5,7.5,cloudy skies,very bright,"medium, light, organic"
Hibiscus tiliaceus,22,32,1200,1600,-,-,---,---,6,7,very bright,clear skies,"heavy, medium, light"
Hordeum vulgare,15,20,500,1000,30,-,---,---,6.5,7.5,very bright,very bright,medium
Imperata cylindrica,25,35,500,3500,-,-,---,---,4.5,6,very bright,cloudy skies,light
Indigofera spicata,22,30,1500,2000,10,-,---,---,5,6.5,very bright,cloudy skies,"heavy, medium"
Inga edulis,23,30,1200,2500,-,-,---,---,5,6.5,very bright,clear skies,"heavy, medium"
Intsia bijuga,22,28,2000,3000,-,-,---,---,5.5,6.5,very bright,cloudy skies,"medium, light"
Ipomoea aquatica,15,35,2000,2500,-,-,---,---,5,7,very bright,very bright,"heavy, organic"
Ipomoea batatas,18,28,750,2000,-,-,---,---,5,7,very bright,very bright,
Ischaemum muticum,22,28,2000,3000,-,-,---,---,5,6,clear skies,cloudy skies,light
Ischaemum rugosum,22,28,1500,2000,-,-,---,---,4.5,5.5,very bright,cloudy skies,"heavy, medium"
Ischaemum timorense,22,28,800,2000,-,-,---,---,4.5,5.5,very bright,clear skies,"medium, light"
Jatropha curcas,11,28,500,1500,-,-,---,---,5.5,7.5,very bright,very bright,medium
Lablab purpureus,18,32,600,1000,-,-,---,---,5,7.5,very bright,very bright,"heavy, medium, light, organic"
Lactuca sativa var. capitata,12,21,1100,1400,-,-,---,---,6,7,clear skies,clear skies,"medium, light"
Lagenaria siceraria,19,27,1200,1800,-,-,---,---,5.5,7,clear skies,very bright,"medium, light"
Lagerstroemia flos-reginae,18,35,2000,3500,7,7,---,---,5.5,6.5,very bright,cloudy skies,medium
Laurus nobilis,17,25,600,1000,-,-,---,---,5,6.5,very bright,very bright,"medium, light"
Lawsonia inermis,19,27,500,1500,20,20,---,---,5,7,very bright,clear skies,"heavy, medium, light"
Lespedeza cuneata,16,26,1000,1400,30,-,---,---,5.5,6.5,very bright,cloudy skies,"heavy, medium"
Leucaena leucocephala,20,32,600,3000,15,-,---,---,6,7.7,very bright,cloudy skies,"heavy, medium"
Litchi chinensis,20,35,1000,1700,13,9,---,---,5.5,6.5,very bright,clear skies,"medium, organic"
Lolium perenne,14,25,700,1750,33,30,---,---,5,7,clear skies,very bright,"heavy, medium"
Lolium rigidum,10,25,400,500,30,30,---,---,6.5,7,very bright,clear skies,"heavy, medium"
Lotononis bainesii,14,32,750,1600,20,-,---,---,5,6,very bright,clear skies,"medium, light"
Luffa acutangula,20,32,1200,2000,10,10,---,---,5.5,7,very bright,clear skies,"medium, organic"
Lycopersicon esculentum,20,27,600,1300,-,-,---,---,5.5,6.8,clear skies,clear skies,"medium, organic"
Macadamia integrifolia,10,26,1000,3000,15,-,---,---,5,6,clear skies,very bright,"medium, light, organic"
Macadamia tetraphylla,14,28,1250,2000,18,-,---,---,5.5,7,very bright,clear skies,medium
Macaranga tanarius,20,30,800,1200,-,-,---,---,5.5,7,clear skies,very bright,medium
Macroptilium atropurpureum,21,32,650,1800,-,-,---,---,6,7.5,very bright,clear skies,"heavy, medium, light"
Macroptilium lathyroides,25,30,800,2000,-,-,---,---,6,7,very bright,clear skies,"heavy, medium, light"
Macrotyloma axillare,20,28,750,1700,-,-,---,---,6,7,clear skies,cloudy skies,"medium, light"
Macrotyloma uniflorum,20,28,500,1200,-,-,---,---,5.5,7,very bright,clear skies,"medium, light"
Malpighia glabra,24,30,1300,2000,-,-,---,---,5.5,7.5,very bright,very bright,"heavy, medium"
Malus domestica,14,27,700,2500,35,30,---,---,6,7,very bright,clear skies,"medium, light"
Malus sylvestris,10,30,900,1200,38,35,---,---,6.2,7,very bright,clear skies,"medium, light"
Mammea americana,24,30,1200,1800,-,-,---,---,6,6.5,very bright,very bright,medium
Mangifera indica,24,30,600,1500,-,-,---,---,5.5,7.5,very bright,very bright,"medium, light"
Manihot esculenta,20,29,1000,1500,-,-,---,---,5.5,8,very bright,very bright,"medium, light"
Medicago sativa,21,27,600,1200,38,36,---,---,6.5,7.5,very bright,very bright,"medium, light"
Melaleuca leucadendron,28,37,800,1400,-,-,---,---,6,7,very bright,very bright,"heavy, medium"
Melaleuca quinquenervia,18,30,1000,3400,5,5,---,---,5,6.5,very bright,clear skies,"heavy, medium"
Melaleuca symphyocarpa,22,37,850,1200,10,10,---,---,5,6,very bright,clear skies,heavy
Melicoccus bijugatus,22,30,800,1600,-,-,---,---,5.5,7,very bright,clear skies,"heavy, medium, light"
Melinis minutiflora,22,30,900,1700,16,16,---,---,5,7.5,very bright,light shade,"medium, light"
Mentha arvensis var. piperascens,10,25,800,1100,-,-,---,---,5.5,6.4,very bright,clear skies,medium
Metroxylon sagu,25,36,3000,4500,-,-,---,---,5.5,6.5,very bright,very bright,"heavy, medium"
Microstegium ciliatum,23,27,2500,3500,-,-,---,---,4.5,5.5,cloudy skies,light shade,medium
Mimosa pudica,22,28,1000,2000,-,-,---,---,6,7,very bright,cloudy skies,"heavy, medium, light"
Monochoria vaginalis,22,35,1200,2000,-,-,---,---,5,6.5,very bright,clear skies,heavy
Morinda citrifolia,24,30,1500,3000,-,-,---,---,5,6.5,very bright,clear skies,medium
Morus alba,20,28,700,2500,20,-,---,---,5.5,7.5,clear skies,very bright,medium
Muntingia calabura,22,32,1400,2000,-,-,---,---,5.5,6.5,clear skies,very bright,light
Musa textilis,20,29,1800,3000,-,-,---,---,5.5,7,very bright,clear skies,"medium, organic"
Myristica fragrans,22,34,1500,3500,-,-,---,---,6,7,cloudy skies,light shade,"medium, organic"
Nasturtium officinale,12,17,1000,2300,-,-,---,---,6.5,7.5,very bright,very bright,"medium, light"
Nauclea diderrichii,28,34,1600,3500,-,-,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Nephelium lappaceum,21,35,2000,3000,-,-,---,---,5,6.5,clear skies,cloudy skies,medium
Nicotiana tabacum,15,30,500,750,-,-,---,---,5,6.5,very bright,very bright,"medium, light"
